,Bigram,Count
0,"('salt', 'pepper')",82
1,"('olive', 'oil')",51
2,"('oil', 'onion')",33
3,"('vegetable', 'oil')",29
4,"('ground', 'pepper')",29
5,"('lemon', 'juice')",27
6,"('soy', 'sauce')",25
7,"('wine', 'vinegar')",22
8,"('onion', 'garlic')",15
9,"('chicken', 'breasts')",15
10,"('chicken', 'stock')",14
11,"('vegetable', 'stock')",13
12,"('curry', 'powder')",13
13,"('bread', 'crumbs')",12
14,"('ground', 'cumin')",12
15,"('lime', 'juice')",12
16,"('oil', 'garlic')",12
17,"('pepper', 'onion')",12
18,"('salt', 'ground')",12
19,"('oil', 'salt')",12
20,"('flour', 'salt')",11
21,"('flour', 'powder')",11
22,"('powder', 'salt')",11
23,"('butter', 'sugar')",11
24,"('tomato', 'paste')",10
25,"('oil', 'onions')",10
26,"('cloves', 'garlic')",10
27,"('cheddar', 'cheese')",10
28,"('pepper', 'oil')",9
29,"('oil', 'chicken')",9
30,"('bell', 'peppers')",9
31,"('worcestershire', 'sauce')",9
32,"('bell', 'pepper')",9
33,"('salt', 'oil')",9
34,"('tomato', 'sauce')",9
35,"('ginger', 'root')",9
36,"('corn', 'kernels')",8
37,"('chicken', 'broth')",8
38,"('salt', 'sugar')",8
39,"('pepper', 'flour')",8
40,"('pepper', 'salt')",8
41,"('rice', 'vinegar')",8
42,"('chicken', 'breast')",8
43,"('ground', 'coriander')",8
44,"('md', 'onion')",8
45,"('oil', 'vegetable')",7
46,"('sauce', 'oil')",7
47,"('egg', 'yolks')",7
48,"('sugar', 'eggs')",7
49,"('pepper', 'sauce')",7
